Segment,Handles_or_Base_Length,Control_Polygon_Perimeter_Average,Perimeter_Average_Error,Threshold_1_Length
1500_1000__0_1500,2561.552813,2571.345821,3142.691643,1488.006632
3000_500__1500_1000,2561.552813,2571.345821,3142.691643,1488.006632
3000_1500__1500_1000,2561.552813,2571.345821,3142.691643,1488.006632
2500_500__500_1000,3081.13883,3071.345821,4142.691643,1493.523198
2500_1000__500_500,3081.13883,3071.345821,4142.691643,1493.523198
2500_1000__500_1500,3081.13883,3071.345821,4142.691643,1493.523198
2500_1500__500_1000,3081.13883,3071.345821,4142.691643,1493.523198
1000_1000__0_1000,2000,2000,2000,1500
3000_1000__2000_1000,2000,2000,2000,1500
2000_0__1000_1500,2532.247551,2667.511594,3335.023189,1503.021188
2000_500__1000_2000,2532.247551,2667.511594,3335.023189,1503.021188
2000_1500__1000_0,2532.247551,2667.511594,3335.023189,1503.021188
2000_2000__1000_500,2532.247551,2667.511594,3335.023189,1503.021188
500_1000__1000_500,1618.033989,1662.570385,1325.14077,1513.204454
500_1000__1000_1500,1618.033989,1662.570385,1325.14077,1513.204454
2000_500__2500_1000,1618.033989,1662.570385,1325.14077,1513.204454
2000_1500__2500_1000,1618.033989,1662.570385,1325.14077,1513.204454
1500_1000__500_0,2302.775638,2358.4946,2716.9892,1518.853817
1500_1000__500_2000,2302.775638,2358.4946,2716.9892,1518.853817
2500_0__1500_1000,2302.775638,2358.4946,2716.9892,1518.853817
2500_2000__1500_1000,2302.775638,2358.4946,2716.9892,1518.853817
500_500__1000_1000,1707.106781,1707.106781,1414.213562,1519.207795
500_1500__1000_1000,1707.106781,1707.106781,1414.213562,1519.207795
2000_1000__2500_500,1707.106781,1707.106781,1414.213562,1519.207795
2000_1000__2500_1500,1707.106781,1707.106781,1414.213562,1519.207795
500_500__2500_1500,1414.213562,2325.14077,2650.28154,1519.734414
500_1500__2500_500,1414.213562,2325.14077,2650.28154,1519.734414
1000_500__500_500,2081.13883,1790.569415,1581.13883,1525.192215
1000_1500__500_1500,2081.13883,1790.569415,1581.13883,1525.192215
2500_500__2000_500,2081.13883,1790.569415,1581.13883,1525.192215
2500_1500__2000_1500,2081.13883,1790.569415,1581.13883,1525.192215
1500_500__500_2000,2509.882419,2656.329028,3312.658057,1550.88368
1500_1500__500_0,2509.882419,2656.329028,3312.658057,1550.88368
2500_0__1500_1500,2509.882419,2656.329028,3312.658057,1550.88368
2500_2000__1500_500,2509.882419,2656.329028,3312.658057,1550.88368
1000_0__1000_1000,2000,2000,2000,1551.177625
1000_2000__1000_1000,2000,2000,2000,1551.177625
2000_1000__2000_0,2000,2000,2000,1551.177625
2000_1000__2000_2000,2000,2000,2000,1551.177625
1000_0__1000_1500,2118.033989,2309.016994,2618.033989,1553.972715
1000_2000__1000_500,2118.033989,2309.016994,2618.033989,1553.972715
2000_500__2000_2000,2118.033989,2309.016994,2618.033989,1553.972715
2000_1500__2000_0,2118.033989,2309.016994,2618.033989,1553.972715
1500_500__0_1000,2707.106781,2644.122806,3288.245611,1559.80549
1500_1500__0_1000,2707.106781,2644.122806,3288.245611,1559.80549
3000_1000__1500_500,2707.106781,2644.122806,3288.245611,1559.80549
3000_1000__1500_1500,2707.106781,2644.122806,3288.245611,1559.80549
0_1000__2000_1000,1000,2000,2000,1559.883118
1000_1000__3000_1000,1000,2000,2000,1559.883118
500_500__1000_1500,1825.14077,1971.587379,1943.174759,1560.594171
500_1500__1000_500,1825.14077,1971.587379,1943.174759,1560.594171
2000_500__2500_1500,1825.14077,1971.587379,1943.174759,1560.594171
2000_1500__2500_500,1825.14077,1971.587379,1943.174759,1560.594171
2500_500__500_1500,3162.27766,3199.172819,4398.345638,1563.526239
2500_1500__500_500,3162.27766,3199.172819,4398.345638,1563.526239
2000_1000__0_500,3061.552813,3061.552813,4123.105626,1565.108592
2000_1000__0_1500,3061.552813,3061.552813,4123.105626,1565.108592
3000_500__1000_1000,3061.552813,3061.552813,4123.105626,1565.108592
3000_1500__1000_1000,3061.552813,3061.552813,4123.105626,1565.108592
1500_0__1500_500,1825.14077,1662.570385,1325.14077,1565.302173
1500_500__1500_0,1825.14077,1662.570385,1325.14077,1565.302173
1500_1500__1500_2000,1825.14077,1662.570385,1325.14077,1565.302173
1500_2000__1500_1500,1825.14077,1662.570385,1325.14077,1565.302173
1500_500__1000_0,2121.320344,1914.213562,1828.427125,1567.263673
1500_1500__1000_2000,2121.320344,1914.213562,1828.427125,1567.263673
2000_0__1500_500,2121.320344,1914.213562,1828.427125,1567.263673
2000_2000__1500_1500,2121.320344,1914.213562,1828.427125,1567.263673
500_500__2000_500,1207.106781,1853.553391,1707.106781,1569.261187
500_1500__2000_1500,1207.106781,1853.553391,1707.106781,1569.261187
1000_500__2500_500,1207.106781,1853.553391,1707.106781,1569.261187
1000_1500__2500_1500,1207.106781,1853.553391,1707.106781,1569.261187
2000_0__1000_500,2532.247551,2325.14077,2650.28154,1570.618379
2000_500__1000_0,2532.247551,2325.14077,2650.28154,1570.618379
2000_1500__1000_2000,2532.247551,2325.14077,2650.28154,1570.618379
2000_2000__1000_1500,2532.247551,2325.14077,2650.28154,1570.618379
1500_0__1000_500,2236.067977,1971.587379,1943.174759,1577.817785
1500_2000__1000_1500,2236.067977,1971.587379,1943.174759,1577.817785
2000_500__1500_0,2236.067977,1971.587379,1943.174759,1577.817785
2000_1500__1500_2000,2236.067977,1971.587379,1943.174759,1577.817785
2000_1000__500_0,2802.775638,2802.775638,3605.551275,1578.652144
2000_1000__500_2000,2802.775638,2802.775638,3605.551275,1578.652144
2500_0__1000_1000,2802.775638,2802.775638,3605.551275,1578.652144
2500_2000__1000_1000,2802.775638,2802.775638,3605.551275,1578.652144
500_500__1500_500,1414.213562,1707.106781,1414.213562,1579.289295
500_1500__1500_1500,1414.213562,1707.106781,1414.213562,1579.289295
1500_500__2500_500,1414.213562,1707.106781,1414.213562,1579.289295
1500_1500__2500_1500,1414.213562,1707.106781,1414.213562,1579.289295
1000_1000__500_0,1802.775638,1960.404813,1920.809626,1589.580099
1000_1000__500_2000,1802.775638,1960.404813,1920.809626,1589.580099
2500_0__2000_1000,1802.775638,1960.404813,1920.809626,1589.580099
2500_2000__2000_1000,1802.775638,1960.404813,1920.809626,1589.580099
1500_0__500_1000,2618.033989,2516.123776,3032.247551,1589.625638
1500_2000__500_1000,2618.033989,2516.123776,3032.247551,1589.625638
2500_1000__1500_0,2618.033989,2516.123776,3032.247551,1589.625638
2500_1000__1500_2000,2618.033989,2516.123776,3032.247551,1589.625638
1500_0__1500_2000,2236.067977,2618.033989,3236.067977,1589.657154
1500_2000__1500_0,2236.067977,2618.033989,3236.067977,1589.657154
0_1000__2500_1000,1500,2500,3000,1594.75708
500_1000__3000_1000,1500,2500,3000,1594.75708
1500_500__0_1500,2768.659594,2785.717616,3571.435232,1596.335654
1500_1500__0_500,2768.659594,2785.717616,3571.435232,1596.335654
3000_500__1500_1500,2768.659594,2785.717616,3571.435232,1596.335654
3000_1500__1500_500,2768.659594,2785.717616,3571.435232,1596.335654
500_1000__500_1000,2000,1500,1000,1597.846985
2500_1000__2500_1000,2000,1500,1000,1597.846985
2000_500__0_1000,3118.033989,3089.793401,4179.586802,1604.266496
2000_1500__0_1000,3118.033989,3089.793401,4179.586802,1604.266496
3000_1000__1000_500,3118.033989,3089.793401,4179.586802,1604.266496
3000_1000__1000_1500,3118.033989,3089.793401,4179.586802,1604.266496
1000_1000__0_500,2061.552813,2089.793401,2179.586802,1606.317467
1000_1000__0_1500,2061.552813,2089.793401,2179.586802,1606.317467
3000_500__2000_1000,2061.552813,2089.793401,2179.586802,1606.317467
3000_1500__2000_1000,2061.552813,2089.793401,2179.586802,1606.317467
2000_0__500_1000,2914.213562,2858.4946,3716.9892,1611.190631
2000_2000__500_1000,2914.213562,2858.4946,3716.9892,1611.190631
2500_1000__1000_0,2914.213562,2858.4946,3716.9892,1611.190631
2500_1000__1000_2000,2914.213562,2858.4946,3716.9892,1611.190631
1500_0__500_1500,2699.172819,2750.974228,3501.948457,1611.29084
1500_2000__500_500,2699.172819,2750.974228,3501.948457,1611.29084
2500_500__1500_2000,2699.172819,2750.974228,3501.948457,1611.29084
2500_1500__1500_0,2699.172819,2750.974228,3501.948457,1611.29084
500_500__2000_2000,1707.106781,2414.213562,2828.427125,1618.810571
500_1500__2000_0,1707.106781,2414.213562,2828.427125,1618.810571
1000_0__2500_1500,1707.106781,2414.213562,2828.427125,1618.810571
1000_2000__2500_500,1707.106781,2414.213562,2828.427125,1618.810571
500_0__2000_1000,1118.033989,1960.404813,1920.809626,1621.394077
500_2000__2000_1000,1118.033989,1960.404813,1920.809626,1621.394077
1000_1000__2500_0,1118.033989,1960.404813,1920.809626,1621.394077
1000_1000__2500_2000,1118.033989,1960.404813,1920.809626,1621.394077
2000_500__500_2000,2920.809626,3021.064985,4042.12997,1621.765407
2000_1500__500_0,2920.809626,3021.064985,4042.12997,1621.765407
2500_0__1000_1500,2920.809626,3021.064985,4042.12997,1621.765407
2500_2000__1000_500,2920.809626,3021.064985,4042.12997,1621.765407
2500_500__500_500,3162.27766,3081.13883,4162.27766,1624.588516
2500_1500__500_1500,3162.27766,3081.13883,4162.27766,1624.588516
500_0__2000_1500,1618.033989,2369.677166,2739.354332,1631.746506
500_2000__2000_500,1618.033989,2369.677166,2739.354332,1631.746506
1000_500__2500_2000,1618.033989,2369.677166,2739.354332,1631.746506
1000_1500__2500_0,1618.033989,2369.677166,2739.354332,1631.746506
1500_0__1000_2000,2532.247551,2796.900182,3593.800364,1633.282118
1500_2000__1000_0,2532.247551,2796.900182,3593.800364,1633.282118
2000_0__1500_2000,2532.247551,2796.900182,3593.800364,1633.282118
2000_2000__1500_0,2532.247551,2796.900182,3593.800364,1633.282118
1000_0__1500_2000,2118.033989,2589.793401,3179.586802,1633.63617
1000_2000__1500_0,2118.033989,2589.793401,3179.586802,1633.63617
1500_0__2000_2000,2118.033989,2589.793401,3179.586802,1633.63617
1500_2000__2000_0,2118.033989,2589.793401,3179.586802,1633.63617
500_500__1500_2000,1825.14077,2313.958204,2627.916408,1637.234898
500_1500__1500_0,1825.14077,2313.958204,2627.916408,1637.234898
1500_0__2500_1500,1825.14077,2313.958204,2627.916408,1637.234898
1500_2000__2500_500,1825.14077,2313.958204,2627.916408,1637.234898
2000_500__0_1500,3179.586802,3207.82739,4415.654779,1638.306329
2000_1500__0_500,3179.586802,3207.82739,4415.654779,1638.306329
3000_500__1000_1500,3179.586802,3207.82739,4415.654779,1638.306329
3000_1500__1000_500,3179.586802,3207.82739,4415.654779,1638.306329
2000_0__500_1500,2995.352392,3058.336368,4116.672736,1639.939925
2000_2000__500_500,2995.352392,3058.336368,4116.672736,1639.939925
2500_500__1000_2000,2995.352392,3058.336368,4116.672736,1639.939925
2500_1500__1000_0,2995.352392,3058.336368,4116.672736,1639.939925
1000_500__500_2000,2302.775638,2441.957234,2883.914468,1642.421842
1000_1500__500_0,2302.775638,2441.957234,2883.914468,1642.421842
2500_0__2000_1500,2302.775638,2441.957234,2883.914468,1642.421842
2500_2000__2000_500,2302.775638,2441.957234,2883.914468,1642.421842
1000_500__1500_0,1618.033989,1662.570385,1325.14077,1643.273895
1000_1500__1500_2000,1618.033989,1662.570385,1325.14077,1643.273895
1500_0__2000_500,1618.033989,1662.570385,1325.14077,1643.273895
1500_2000__2000_1500,1618.033989,1662.570385,1325.14077,1643.273895
2500_1000__0_1000,3500,3500,5000,1647.953033
3000_1000__500_1000,3500,3500,5000,1647.953033
500_1000__2000_0,1500,2151.387819,2302.775638,1654.888818
500_1000__2000_2000,1500,2151.387819,2302.775638,1654.888818
1000_0__2500_1000,1500,2151.387819,2302.775638,1654.888818
1000_2000__2500_1000,1500,2151.387819,2302.775638,1654.888818
1000_0__2000_2000,2000,2618.033989,3236.067977,1658.926879
1000_2000__2000_0,2000,2618.033989,3236.067977,1658.926879
1000_0__1500_500,1707.106781,1707.106781,1414.213562,1658.927595
